2025-06-08 01:09:55.845264 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 57, length 64
2025-06-08 01:09:55.845285 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 57, length 64
2025-06-08 01:09:56.869257 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 58, length 64
2025-06-08 01:09:56.869286 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 58, length 64
2025-06-08 01:09:57.893264 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 59, length 64
2025-06-08 01:09:57.893284 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 59, length 64
2025-06-08 01:09:58.917257 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 60, length 64
2025-06-08 01:09:58.917276 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 60, length 64
2025-06-08 01:09:59.941256 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 61, length 64
2025-06-08 01:09:59.941275 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 61, length 64
2025-06-08 01:10:00.965328 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 62, length 64
2025-06-08 01:10:00.965348 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 62, length 64
2025-06-08 01:10:01.989276 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 63, length 64
2025-06-08 01:10:01.989297 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 63, length 64
2025-06-08 01:10:03.013288 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 64, length 64
2025-06-08 01:10:03.013306 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 64, length 64
2025-06-08 01:10:04.037271 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 65, length 64
2025-06-08 01:10:04.037291 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 65, length 64
2025-06-08 01:10:05.061314 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 66, length 64
2025-06-08 01:10:05.061334 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 66, length 64
2025-06-08 01:10:06.085285 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 67, length 64
2025-06-08 01:10:06.085306 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 67, length 64
2025-06-08 01:10:07.109293 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 68, length 64
2025-06-08 01:10:07.109318 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 68, length 64
2025-06-08 01:10:08.133267 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 69, length 64
2025-06-08 01:10:08.133287 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 69, length 64
2025-06-08 01:10:09.157286 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 70, length 64
2025-06-08 01:10:09.157304 eth2  Out IP 172.172.10.2 > 172.172.10.10: ICMP echo reply, id 4, seq 70, length 64
2025-06-08 01:10:10.181298 eth2  In  IP 172.172.10.10 > 172.172.10.2: ICMP echo request, id 4, seq 71, length 64
